MTS,UCS,UTS,SR,B1,B2,Wet,Class
108.4,140,8,0.77,17.5,0.89,5,3
60.7,111.5,7.86,0.54,14.19,0.87,6.16,3
91.23,157.63,11.96,0.58,13.18,0.86,6.27,3
110.3,167.19,12.67,0.66,13.2,0.86,6.83,3
16.43,157.95,11.06,0.1,14.28,0.87,4.99,3
30.56,160.83,11.06,0.19,14.54,0.87,3.63,3
81.4,110,4.5,0.74,24.4,0.92,6.31,3
30,30,2.67,1,11.2,0.84,2.03,3
88.9,142,13.2,0.63,10.7,0.83,3.62,3
30.1,88.7,3.7,0.34,23.97,0.92,6.6,3
62.4,235,9.5,0.27,24.74,0.92,9,3
43.4,136.5,7.2,0.32,18.96,0.9,5.6,3
55.9,126.8,6.56,0.44,19.33,0.9,8.1,3
109.9,128.5,9.63,0.86,13.34,0.86,8.1,3
68,106.8,6.1,0.64,17.51,0.89,7.2,3
50.6,104.97,6.18,0.48,16.99,0.89,10.9,3
120.8,151.6,10.1,0.8,15.01,0.88,20,3
119.32,138.6,7.74,0.86,17.91,0.89,30,3
95.67,127.37,10.51,0.75,12.12,0.85,30,3
114.44,174.71,14.42,0.66,12.12,0.85,10,3
127.6,145.42,13.7,0.88,10.61,0.83,10,3
126.41,158.03,14.32,0.8,11.04,0.83,10,3
108.53,113.37,10.43,0.96,10.87,0.83,10,3
77,86.3,15.6,0.89,5.53,0.69,6.3,3
77,61.1,5.3,1.26,11.53,0.84,7.2,3
77,99.2,7.3,0.78,13.59,0.86,8.31,3
77,91.3,14.5,0.84,6.3,0.73,21,3
225.5,86.3,15.6,2.61,5.53,0.69,6.3,3
225.5,61.1,5.3,3.69,11.53,0.84,7.2,3
225.5,99.2,7.3,2.27,13.59,0.86,8.31,3
225.5,91.3,14.5,2.47,6.3,0.73,21,3
274.3,86.3,15.6,3.18,5.53,0.69,6.3,3
274.3,61.1,5.3,4.49,11.53,0.84,7.2,3
274.3,99.2,7.3,2.77,13.59,0.86,8.31,3
274.3,91.3,14.5,3,6.3,0.73,21,3
297.8,86.3,15.6,3.45,5.53,0.69,6.3,3
297.8,61.1,5.3,4.87,11.53,0.84,7.2,3
297.8,99.2,7.3,3,13.59,0.86,8.31,3
297.8,91.3,14.5,3.26,6.3,0.73,21,3
80.04,171.3,22.6,0.47,7.58,0.77,7.27,3
72.56,304.2,20.9,0.24,14.56,0.87,10.57,3
57.2,80.6,2.5,0.71,32.2,0.94,5.5,3
58.2,83.6,2.6,0.69,32.1,0.94,5.9,3
18.64,70,4.85,0.27,14.43,0.87,7.27,3
90,220,7.4,0.41,29.73,0.93,7.3,1
62.6,165,9.4,0.38,17.53,0.89,9,1
80,180,6.7,0.44,26.87,0.93,5.5,1
66.77,148.48,8.47,0.45,17.53,0.89,5.08,1
35.82,127.93,4.43,0.28,28.9,0.93,3.67,1
26.06,118.46,3.51,0.22,33.75,0.94,2.89,1
32.4,140.88,11.96,0.23,11.78,0.84,2.86,1
34.89,151.7,10.66,0.23,14.23,0.87,3.17,1
16.21,135.07,10.33,0.12,13.08,0.86,2.49,1
19.36,113.87,4.43,0.17,25.7,0.93,2.38,1
39.94,117.48,2.98,0.34,39.42,0.95,2.37,1
46.22,140.07,2.01,0.33,69.69,0.97,3.29,1
30.95,123.79,12.67,0.25,9.77,0.81,2.57,1
20.82,122.47,12.67,0.17,9.67,0.81,2.81,1
34.15,54.2,12.1,0.63,4.48,0.63,3.17,1
60,135,15.04,0.44,8.98,0.8,4.86,1
60,66.49,9.72,0.9,6.84,0.74,2.15,1
60,106.38,11.2,0.56,9.5,0.81,6.11,1
60,86.03,7.14,0.7,12.05,0.85,2.85,1
60,149.19,9.3,0.4,16.04,0.88,3.5,1
60,136.79,10.42,0.44,13.13,0.86,2.12,1
44.4,120,5,0.37,24,0.92,5.1,1
13.5,30,2.67,0.45,11.2,0.84,2.03,1
34,149,5.9,0.23,25.25,0.92,7.6,1
92,263,10.7,0.35,24.58,0.92,8,1
46.4,100,4.9,0.46,20.4,0.91,2,1
23,80,3,0.29,26.8,0.93,0.85,1
46.2,105,5.3,0.44,19.7,0.9,2.3,1
35,133.4,9.3,0.26,14.34,0.87,2.9,1
17.4,161,3.98,0.14,31.4,0.95,2.19,1
19,153,4.48,0.15,28.1,0.94,2.11,1
19.7,142,4.55,0.16,27.9,0.94,2.26,1
66.1,135.2,10.9,0.49,12.4,0.85,4.6,1
99.4,129.5,11.3,0.77,11.46,0.84,4.6,1
33.6,156.3,10.2,0.21,15.32,0.88,5.2,1
26.9,92.6,9.52,0.29,9.73,0.81,3.7,1
83.9,95.6,8.69,0.88,11,0.83,3.7,1
59.9,96.5,8,0.62,12.06,0.85,1.8,1
50.6,63.83,5.06,0.79,12.61,0.85,2.23,1
50.6,85.36,4.91,0.59,17.38,0.89,3.41,1
50.6,153.1,10.48,0.33,14.61,0.87,3.14,1
50.09,124,5,0.4,24.8,0.92,6.53,1
62.13,124,5,0.5,24.8,0.92,4.62,1
40.9,88.25,3.6,0.46,24.51,0.92,4.61,1
47.56,58.5,3.5,0.81,16.71,0.89,5,1
43.62,78.1,3.2,0.56,24.41,0.92,6,1
26.9,62.8,2.1,0.42,29.9,0.94,2.4,1
40.4,72.1,2.1,0.56,34.3,0.94,1.9,1
29.7,116,2.7,0.26,42.9,0.95,3.7,1
29.1,94,2.6,0.31,36.1,0.95,3.2,1
30.3,88,3.1,0.34,28.3,0.93,3,1
47.56,58.5,3.5,0.81,16.71,0.89,5,1
42.4,50,6.1,0.85,8.2,0.78,5.3,1
18.2,60,1.9,0.3,31.58,0.94,2.84,1
16.4,156.23,10.51,0.1,14.86,0.87,4.14,1
16.4,156.14,10.3,0.11,15.16,0.88,4.04,1
50.28,77.3,7.65,0.65,10.11,0.82,2.47,1
44.8,77.3,7.65,0.58,10.11,0.82,2.47,1
48,77.3,7.65,0.62,10.11,0.82,2.47,1
53.4,77.3,7.65,0.69,10.11,0.82,2.47,1
54.9,77.3,7.65,0.71,10.11,0.82,2.47,1
21,103,4.1,0.2,25.12,0.92,2.4,1
28,100,3.9,0.28,25.64,0.92,2.3,1
47,122,5.5,0.39,22.18,0.91,3.4,1
52,117,4.8,0.44,24.38,0.92,3.2,1
42,117,4.8,0.36,24.38,0.92,3.2,1
32,117,4.8,0.27,24.38,0.92,3.2,1
24,110,4.4,0.22,25,0.92,3,1
32.8,160,6.6,0.21,24.3,0.92,4.6,1
44.8,160,6.8,0.28,23.6,0.92,4.9,1
44.8,160,6.7,0.28,23.8,0.92,4.8,1
22.4,160,6.6,0.14,24.1,0.92,4.3,1
20.61,54.23,21.49,0.38,2.52,0.43,3.17,1
61.72,92.4,8.28,0.67,11.16,0.84,5.43,1
126.72,189.7,8.95,0.67,21.2,0.91,5.43,1
57.97,125.37,7.74,0.67,21.2,0.46,2.86,1
57.97,96.16,3.77,0.46,16.2,0.2,2.53,1
57.97,70.68,4.19,0.6,25.51,0.19,2.87,1
90,170,11.3,0.53,15.04,0.88,9,2
55.4,176,7.3,0.32,24.11,0.92,9.3,2
30,88.7,3.7,0.34,23.97,0.92,6.6,2
48.75,180,8.3,0.27,21.69,0.91,5,2
89,236,8.3,0.38,28.43,0.93,5,2
98.6,120,6.5,0.82,18.46,0.9,3.8,2
57,180,8.3,0.32,21.69,0.91,5,2
50,130,6,0.38,21.67,0.91,5,2
62.5,175,7.25,0.36,24.14,0.92,5,2
75,180,8.3,0.42,21.69,0.91,5,2
43.4,123,6,0.35,20.5,0.91,5,2
56.1,131.99,9.44,0.43,13.98,0.87,7.44,2
54.2,134,9.1,0.4,0.15,0.87,7.1,2
70.3,128.3,8.7,0.55,0.15,0.87,6.4,2
54.2,134,9.09,0.4,15,0.87,7.08,2
70.3,129,8.73,0.55,11.4,0.87,6.43,2
51.5,132.05,6.33,0.39,20.86,0.91,4.63,2
16.62,156.86,10.66,0.11,14.71,0.87,4.83,2
16.47,156.9,10.33,0.11,15.19,0.88,4.39,2
16.3,155.28,10.63,0.11,14.61,0.87,4.4,2
31.05,147.85,11.96,0.21,12.36,0.85,3,2
33.15,106.94,2.98,0.31,35.89,0.95,2.15,2
39.82,128.46,2.98,0.31,43.11,0.95,2.4,2
40.99,186.3,12.67,0.22,14.7,0.87,4.1,2
36.09,164.05,12.67,0.22,12.95,0.86,3.59,2
63.8,110,4.5,0.58,24.4,0.92,6.31,2
70.4,110,4.5,0.64,24.4,0.92,6.31,2
57.6,120,5,0.48,24,0.92,5.1,2
19.5,30,2.67,0.65,11.2,0.84,2.03,2
73.2,120,5,0.61,24,0.92,5.1,2
59.82,85.8,7.31,0.7,11.7,0.84,2.78,2
109.5,155.8,11.77,0.7,13.24,0.86,5.2,2
38.3,90.1,10.2,0.43,8.83,0.8,3.7,2
59.09,88.25,3.6,0.67,24.51,0.92,6.14,2
47.5,86.3,15.6,0.55,5.53,0.69,6.3,2
47.5,61.1,5.3,0.78,11.53,0.84,7.2,2
47.5,99.2,7.3,0.48,13.59,0.86,8.31,2
47.5,91.3,14.5,0.52,6.3,0.73,21,2
67.2,86.3,15.6,0.78,5.53,0.69,6.3,2
67.2,61.1,5.3,1.1,11.53,0.84,7.2,2
67.2,99.2,7.3,0.68,13.59,0.86,8.31,2
67.2,91.3,14.5,0.74,6.3,0.73,21,2
77.07,78.3,6.8,0.98,11.51,0.84,3.11,2
67.18,132.2,16.4,0.51,8.06,0.78,3.97,2
75.03,128.6,13,0.58,9.89,0.82,5.76,2
80.54,237.2,17.66,0.34,13.43,0.86,6.38,2
47.56,80.3,3.5,0.59,22.94,0.92,5,2
44.71,82.4,4.7,0.54,17.53,0.89,6.6,2
39.4,65.2,2.3,0.6,28.3,0.93,3.4,2
38.2,71.4,3.4,0.53,21,0.91,3.6,2
45.7,69.1,3.2,0.66,21.5,0.91,4.1,2
35.8,67.8,3.8,0.52,17.8,0.89,4.3,2
39.4,69.2,2.7,0.57,25.6,0.92,3.8,2
40.6,66.6,2.6,0.61,25.6,0.92,3.7,2
39,70.1,2.4,0.56,29.2,0.93,4.8,2
55.6,114,2.3,0.49,49.5,0.96,4.7,2
56.9,123,2.7,0.46,45.5,0.96,5.2,2
62.1,132,2.4,0.47,55,0.96,5,2
55.6,114,2.3,0.49,49.5,0.96,4.7,2
41.6,67.6,2.7,0.61,25,0.92,3.7,2
40.1,72.1,2.3,0.55,31.3,0.94,4.6,2
56.8,112,2.2,0.5,50.9,0.96,5.2,2
63.6,50,4,1.27,12.5,0.85,5.3,2
